Id,indegree,outdegree
MORAES Diogo Marialva,0,24
CALVINO Ítalo,1,0
CÂMARA Cristina,1,0
CAMARGO Ana Maria Faccioli,1,0
CAMARGO Flávio Pereira,1,0
CAMARGO JR Kenneth R,0,0
CAMARGOS Moacir Lopes,1,0
CAMBIANO Giuseppe,1,0
CAMINHA Adolfo,2,0
CAMINOTI Jacqueline Medeiros,0,0
CAMPANHOLE Adriano,0,0
CAMPBELL Colin,1,0
CAMPEDELLI Samira Youssef,0,0
CAMPELLO Bernadete,0,0
CAMPOS Leonildo Silveira,2,0
CAMPOS Núbia Carla,0,0
CAMPOS Pedro Marcelo,0,0
CAMPOS Tarcísio Passos Ribeiro,1,0
CAMUS Albert,0,0
CANCLINI Néstor García,0,0
CANDAU Joël,3,0
CANDAU Vera Maria,0,0
CANDIDO Antônio,0,0
CANDIDO Maria Regina,1,0
CANDIOTTO César,0,0
CANFORA Luciano,0,0
CANGUILHEM Georges,6,0
CAÑIZAL Eduardo Peñuela,0,0
CANO Wilson,1,0
CANTALICE Juviniano Gomes,1,0
CANTARELLA Eva,1,0
CAPELATO Maria Helena Rolim,4,0
CAPONE Stefania,0,0
CAPONI Sandra,4,0
CAPRIO Frank S,2,0
CARBONELL Charles-Oliver,0,0
CARDEAL ARNS D Paulo Evaristo,2,0
CARDIM Pedro,1,0
CARDOSO Ciro Flamarion,14,0
CARDOSO DE OLIVEIRA Luis R,1,0
CARDOSO Elisabeth,1,0
CARDOSO Elizabeth da P,0,0
CARDOSO Fernando Henrique,1,0
CARDOSO Fernando Luiz,0,0
CARDOSO Heloisa Helena Pacheco,3,0
CARDOSO Ruth Corrêa Leite,3,0
CARDOSO Sérgio,0,0
CARDOSO Zélia,1,0
CARMO Paulo Sérgio do,0,0
CARNEIRO Édison,0,0
CARNEIRO Henrique,1,0
CARNEIRO Maria Elizabeth Ribeiro,1,0
CARNEIRO Maria Luiza Tucci,3,0
CARNEIRO Sueli,0,0
CARONE Edgar,0,0
CARRARA Sérgio,13,0
CARRASCO Rafael,0,0
CARRASCOSA Sejo,4,0
CARRIERI Alexandre,1,0
CARRIJO Gilson Goulart,3,0
CARRILLO Jesús,3,0
CARROLL Lewis,0,0
CARSTEN Janet,1,0
CARTLEDGE Paul,1,0
CARULA Karoline,0,0
CARVALHO Carlos Alberto de,2,0
CARVALHO Diana Maul de,3,0
CARVALHO Gilmar,1,0
CARVALHO Joaquim Ramos de,0,0
CARVALHO José Jorge de,0,0
CARVALHO José Murilo de,3,0
CARVALHO Luiz Maklouf,2,0
CARVALHO Mario Felipe de Lima,3,0
CARVALHO Vânia Carneiro,1,0
CASAGRANDE Carla,0,0
CASSAB Latif Antonia,0,0
CASSAL Luan Carpes Barros de,1,0
CASTAÑEDA Jorge G,1,0
CASTEL Pierre-Henri,2,0
CASTEL Robert,1,0
CASTELLANO Juan Luis Castellano,0,0
CASTELLS Manuel,3,0
CASTELO BRANCO Pedro Vilarinho,0,0
CASTIEL Luis David,1,0
CASTILHO Euclides Ayres,1,0
CASTILHO Inês,1,0
CASTILHO Kathia,0,0
CASTILLO Ana,0,0
CASTILLO Elisa,0,0
CASTLE T,0,0
CASTORIADIS Cornelius,2,0
CASTRO Ana Lúcia,2,0
CASTRO Celso,1,0
CASTRO Claudia Gomes,2,0
CASTRO Edgardo,4,0
CASTRO Fidel,1,0
CASTRO Hebe Maria Mattos,2,0
CASTRO M G,0,0
CASTRO Paulo César,0,0
CASTRO Ruy,2,0
CAUFIELD Susann,1,0
CAVALCANTE Alcilene,0,0
CAVALCANTE Olendina,1,0
CAVALCANTI Carlos André Macêdo,1,0
CAVALLO Guglielmo,0,0
CAVICCHIOLI M R,0,0
CAZEIRO Felipe,0,0
CEBALLOS Rodrigo,3,0
CECCARELLI Paulo Roberto,1,0
CECCHETTO Fátima Regina,1,0
